Feature	CL1-0_Rep-2	20230818_CL1-0_CE_miRNA_Rep1	CL1-5_Rep-1	20230818_CL1-5_CE_miRNA_Rep1	20230823_CL1-0_CE_miRNA_Rep2	CL1-5_Rep-2	CL1-0_Rep-1	20230823_CL1-5_CE_miRNA_Rep2
hsa-let-7a-5p	10139.3	9278.48	42992	51103.1	9073.79	31649.1	7666.36	42585.5
hsa-let-7b-5p	4122.56	471.424	6109.39	4625.83	383.114	13830.9	2759.89	3849.71
hsa-let-7c-5p	8022.28	16520.1	1034.39	154.326	11452.8	1121.43	8586.32	114.438
hsa-let-7d-5p	668.524	71.4279	1454.62	663.471	36.3662	1744.44	3373.2	633.594
hsa-let-7e-5p	3899.72	4767.81	13867.3	13174.5	3760.1	11152	2453.24	11343.3
hsa-let-7f-5p	10139.3	8854.68	14319.9	21315.5	6074.85	9905.92	7666.36	22820.5
hsa-let-7g-5p	2562.67	2151.17	4040.6	9297.83	1579.82	2990.47	1226.62	9340.62
hsa-let-7i-5p	17158.8	1821.41	33844.1	55268.6	889.704	23799.1	14106.1	61137.6
hsa-miR-100-5p	3231.2	1448.8	40276.7	14655.7	1439.43	32895.1	2759.89	12775.8
hsa-miR-10a-5p	779.944	233.331	3943.63	1722.65	260.484	1682.14	6133.09	1650.97
hsa-miR-10b-5p	1448.47	2495.21	96.9744	42.2089	2759.6	62.3014	2453.24	41.8674
hsa-miR-128-3p	668.524	4608.29	2230.41	1887.53	4694.63	1059.12	1533.27	2033.36
hsa-miR-155-5p	1114.21	2.38093	1874.84	365.371	14.3773	1370.63	306.654	532.414
hsa-miR-181a-2-3p	779.944	1890.46	129.299	25.0615	1339.63	249.206	1226.62	19.5381
hsa-miR-192-5p	445.682	3882.11	387.898	477.488	3613.79	62.3014	306.654	565.21
hsa-miR-199a-3p	2116.99	11383.2	420.222	68.5895	9476.36	186.904	5213.12	80.2459
hsa-miR-199b-3p	3008.36	11138	193.949	71.2275	9511.88	62.3014	4293.16	82.3393
hsa-miR-19b-3p	1002.79	30049.7	2262.74	13922.3	37567.2	996.823	1226.62	18018.3
hsa-miR-203a-3p	779.944	47.6186	2521.33	2165.84	71.041	27973.3	613.309	2073.83
hsa-miR-20b-5p	6685.24	71054.1	1486.94	1879.61	88857.1	809.918	6746.4	1613.99
hsa-miR-22-3p	779.944	209.522	1325.32	703.042	182.677	2118.25	919.963	601.495
hsa-miR-221-3p	16156	8524.92	71146.9	34887	9403.63	122360	10119.6	31231.7
hsa-miR-221-5p	334.262	3.57139	290.923	35.6138	5.07436	934.521	306.654	26.516
hsa-miR-27a-5p	668.524	173.808	1357.64	451.108	178.448	2492.06	613.309	434.026
hsa-miR-296-5p	222.841	26.1902	355.573	108.16	23.6803	124.603	306.654	61.4056
hsa-miR-30a-3p	2562.67	9492.77	96.9744	108.16	7251.26	62.3014	2759.89	84.4326
hsa-miR-30a-5p	2785.52	8120.16	258.598	31.6567	5153.01	249.206	3373.2	53.0321
hsa-miR-30b-5p	557.103	1264.27	969.744	2751.49	1233.91	1619.84	1226.62	3247.52
hsa-miR-30c-5p	668.524	4058.29	355.573	497.274	2648.81	373.808	613.309	517.761
hsa-miR-30e-5p	445.682	2152.36	484.872	550.035	1718.52	373.808	1226.62	678.95
hsa-miR-342-3p	779.944	382.139	1131.37	141.136	279.935	1744.44	1226.62	104.669
hsa-miR-34a-5p	2896.94	2.38093	258.598	836.264	5.92008	311.507	919.963	794.086
hsa-miR-363-3p	1782.73	10836.8	905.094	327.119	14602.3	498.411	5826.43	269.347
hsa-miR-378a-3p	1002.79	1149.99	1034.39	373.285	1012.33	1495.23	613.309	323.077
hsa-miR-411-5p	668.524	1.19046	775.795	1193.72	1.69145	186.904	306.654	1307.66
hsa-miR-425-5p	2228.41	797.611	1357.64	371.966	607.231	1744.44	3066.54	290.281
hsa-miR-4516	14261.8	7.14279	4816.4	72.5465	2.53718	5544.83	5519.78	7.67569
hsa-miR-455-3p	111.421	39.2853	226.274	196.535	21.9889	373.808	306.654	261.671
hsa-miR-95-3p	111.421	1377.37	129.299	100.246	1593.35	62.3014	613.309	109.553
hsa-miR-98-5p	334.262	134.523	872.77	957.614	73.5782	373.808	919.963	1101.11
hsa-miR-99a-5p	3008.36	6361.84	161.624	11.8713	5799.99	186.904	1533.27	6.9779
