Feature	CL1-0_Rep-2	20230818_CL1-0_CE_miRNA_Rep1	CL1-5_Rep-1	20230818_CL1-5_CE_miRNA_Rep1	20230823_CL1-0_CE_miRNA_Rep2	CL1-5_Rep-2	CL1-0_Rep-1	20230823_CL1-5_CE_miRNA_Rep2
hsa-let-7b-5p	4122.56	471.424	6109.39	4625.83	383.114	13830.9	2759.89	3849.71
hsa-let-7d-5p	668.524	71.4279	1454.62	663.471	36.3662	1744.44	3373.2	633.594
hsa-let-7i-5p	17158.8	1821.41	33844.1	55268.6	889.704	23799.1	14106.1	61137.6
hsa-miR-100-5p	3231.2	1448.8	40276.7	14655.7	1439.43	32895.1	2759.89	12775.8
hsa-miR-101-3p	557.103	1665.46	290.923	728.103	1775.18	249.206	613.309	1046.69
hsa-miR-107	445.682	1455.94	1034.39	1234.61	1417.44	498.411	613.309	1060.64
hsa-miR-10a-5p	779.944	233.331	3943.63	1722.65	260.484	1682.14	6133.09	1650.97
hsa-miR-125b-1-3p	668.524	152.38	1519.27	399.665	139.545	6043.24	306.654	382.389
hsa-miR-125b-5p	17381.6	60362.5	41828.3	53035.5	62747	26976.5	20545.8	39324.7
hsa-miR-128-3p	668.524	4608.29	2230.41	1887.53	4694.63	1059.12	1533.27	2033.36
hsa-miR-1292-5p	779.944	1.19046	32.3248	7.91417	5.07436	124.603	919.963	9.76907
hsa-miR-1307-3p	1448.47	69.047	775.795	58.0372	89.647	1744.44	1226.62	53.0321
hsa-miR-130a-3p	2005.57	14727.2	2715.28	10122.2	12434.7	1619.84	1533.27	10679.7
hsa-miR-130b-3p	779.944	2367.83	775.795	2514.07	1674.54	996.823	1226.62	2159.66
hsa-miR-141-3p	668.524	204.76	226.274	44.847	133.625	623.014	12879.5	74.6636
hsa-miR-142-3p	3899.72	32.1426	517.197	32.9757	18.606	1557.54	7973.01	41.1696
hsa-miR-142-5p	1337.05	4.76186	96.9744	1.31903	5.07436	560.713	1839.93	4.18674
hsa-miR-143-3p	557.103	14.2856	775.795	2.63806	4.22863	186.904	8586.32	7.67569
hsa-miR-146a-5p	6016.71	60.7137	517.197	100.246	29.6004	560.713	13799.4	69.0813
hsa-miR-148a-3p	668.524	11099.9	2941.56	9077.55	10965.7	2305.15	4599.82	10308.5
hsa-miR-148b-3p	1782.73	10533.2	4040.6	6100.5	9414.62	3488.88	3679.85	7100.72
hsa-miR-151a-3p	779.944	1864.27	4460.82	2095.94	1836.92	2990.47	306.654	2332.02
hsa-miR-155-5p	1114.21	2.38093	1874.84	365.371	14.3773	1370.63	306.654	532.414
hsa-miR-15b-5p	1225.63	5003.52	2909.23	8986.54	5619.85	1495.23	919.963	7490.78
hsa-miR-16-5p	21392.8	82332.5	67170.9	90291.4	86357.1	35636.4	26065.6	86433.2
hsa-miR-17-5p	334.262	2028.55	1680.89	2371.61	1643.25	934.521	613.309	3100.28
hsa-miR-192-5p	445.682	3882.11	387.898	477.488	3613.79	62.3014	306.654	565.21
hsa-miR-193a-5p	222.841	58.3328	549.522	130.584	39.7491	1121.43	613.309	103.971
hsa-miR-196a-5p	111.421	4315.44	2909.23	3228.98	3782.09	2242.85	919.963	3308.92
hsa-miR-199a-3p	2116.99	11383.2	420.222	68.5895	9476.36	186.904	5213.12	80.2459
hsa-miR-199b-3p	3008.36	11138	193.949	71.2275	9511.88	62.3014	4293.16	82.3393
hsa-miR-19a-3p	445.682	6803.51	1196.02	7844.26	6522.24	311.507	613.309	11441.7
hsa-miR-19b-3p	1002.79	30049.7	2262.74	13922.3	37567.2	996.823	1226.62	18018.3
hsa-miR-200c-3p	557.103	84.523	290.923	40.8899	60.0465	249.206	4599.82	50.2409
hsa-miR-203a-3p	779.944	47.6186	2521.33	2165.84	71.041	27973.3	613.309	2073.83
hsa-miR-20a-5p	2451.25	13799.9	13964.3	20138.9	11234.6	6915.46	3373.2	20325.2
hsa-miR-20b-5p	6685.24	71054.1	1486.94	1879.61	88857.1	809.918	6746.4	1613.99
hsa-miR-21-3p	779.944	2178.55	3717.35	2736.98	2241.17	9407.51	306.654	2985.15
hsa-miR-21-5p	33426.2	152688	64843.5	125767	135760	46040.7	25452.3	136398
hsa-miR-22-3p	779.944	209.522	1325.32	703.042	182.677	2118.25	919.963	601.495
hsa-miR-221-5p	334.262	3.57139	290.923	35.6138	5.07436	934.521	306.654	26.516
hsa-miR-23b-3p	1337.05	492.852	2133.44	1080.28	532.807	3862.69	3373.2	777.339
hsa-miR-25-3p	6685.24	26739	39565.6	26366.1	28284.5	34328.1	12879.5	28180.3
hsa-miR-25-5p	1225.63	97.6181	5980.09	98.9271	104.87	13644	1226.62	71.1746
hsa-miR-27a-3p	4233.98	10343.9	5236.62	7799.41	8458.95	3115.07	3373.2	7830.6
hsa-miR-27a-5p	668.524	173.808	1357.64	451.108	178.448	2492.06	613.309	434.026
hsa-miR-296-5p	222.841	26.1902	355.573	108.16	23.6803	124.603	306.654	61.4056
hsa-miR-29a-3p	22172.7	60468.5	41796	108532	79784.9	22428.5	13799.4	110759
hsa-miR-29b-3p	2896.94	15779.6	3878.98	22922.1	16434.1	1744.44	1839.93	23937.7
hsa-miR-29c-3p	2005.57	8670.16	1292.99	5003.07	9797.74	934.521	2146.58	6135.67
hsa-miR-301a-3p	111.421	3029.73	581.846	1499.73	2297.84	373.808	1533.27	1687.96
hsa-miR-30a-3p	2562.67	9492.77	96.9744	108.16	7251.26	62.3014	2759.89	84.4326
hsa-miR-30a-5p	2785.52	8120.16	258.598	31.6567	5153.01	249.206	3373.2	53.0321
hsa-miR-30c-5p	668.524	4058.29	355.573	497.274	2648.81	373.808	613.309	517.761
hsa-miR-30d-5p	668.524	461.9	1519.27	542.121	420.326	685.316	4293.16	515.667
hsa-miR-30e-3p	779.944	3092.83	3135.51	1759.58	3458.17	2865.87	919.963	2158.27
hsa-miR-30e-5p	445.682	2152.36	484.872	550.035	1718.52	373.808	1226.62	678.95
hsa-miR-3182	14261.8	71.4279	1745.54	65.9514	54.1265	20248	14106.1	45.3564
hsa-miR-320a-3p	1894.15	445.234	5398.24	473.531	408.486	9282.91	1533.27	363.549
hsa-miR-320c	222.841	10.7142	96.9744	5.27611	9.30299	373.808	306.654	9.07128
hsa-miR-331-3p	222.841	105.951	161.624	142.455	82.8812	186.904	306.654	115.135
hsa-miR-340-5p	111.421	3359.49	549.522	2622.23	3801.54	560.713	306.654	3713.64
hsa-miR-342-3p	779.944	382.139	1131.37	141.136	279.935	1744.44	1226.62	104.669
hsa-miR-345-5p	222.841	70.2374	96.9744	59.3563	57.5094	436.11	306.654	59.3122
hsa-miR-34a-5p	2896.94	2.38093	258.598	836.264	5.92008	311.507	919.963	794.086
hsa-miR-361-5p	334.262	2135.69	3329.45	1873.02	2063.57	1308.33	613.309	1433.26
hsa-miR-363-3p	1782.73	10836.8	905.094	327.119	14602.3	498.411	5826.43	269.347
hsa-miR-365b-3p	111.421	523.805	355.573	832.307	504.053	436.11	306.654	652.434
hsa-miR-374a-5p	557.103	5532.09	1260.67	5541.24	6519.7	560.713	613.309	6586.44
hsa-miR-375-3p	222.841	38.0949	32.3248	15.8283	56.6636	186.904	9506.29	7.67569
hsa-miR-411-5p	668.524	1.19046	775.795	1193.72	1.69145	186.904	306.654	1307.66
hsa-miR-423-3p	1671.31	359.52	3361.78	426.046	288.393	9719.02	613.309	344.708
hsa-miR-423-5p	4122.56	665.47	5915.44	788.779	538.727	13394.8	3373.2	589.633
hsa-miR-425-5p	2228.41	797.611	1357.64	371.966	607.231	1744.44	3066.54	290.281
hsa-miR-4443	3676.88	9.52372	258.598	3.95708	12.6859	124.603	3373.2	9.07128
hsa-miR-4454	1671.31	15.476	32.3248	2.63806	7.61153	249.206	1839.93	13.9558
hsa-miR-4488	891.365	4.76186	1002.07	6.59514	0.845726	1308.33	919.963	0.69779
hsa-miR-4516	14261.8	7.14279	4816.4	72.5465	2.53718	5544.83	5519.78	7.67569
hsa-miR-455-3p	111.421	39.2853	226.274	196.535	21.9889	373.808	306.654	261.671
hsa-miR-501-3p	668.524	16.6665	193.949	13.1903	14.3773	124.603	919.963	4.88453
hsa-miR-532-5p	445.682	3792.82	5592.19	2457.35	4047.64	2678.96	1226.62	2371.09
hsa-miR-660-5p	557.103	2583.31	1616.24	1387.62	2651.35	809.918	1226.62	1660.04
hsa-miR-671-5p	334.262	139.284	129.299	77.8227	93.8756	623.014	613.309	66.9879
hsa-miR-744-5p	1559.89	402.377	2779.93	378.561	282.472	3551.18	2146.58	315.401
hsa-miR-7704	135710	4.76186	4428.5	5.27611	0.845726	11588.1	217111	1.39558
hsa-miR-7977	1225.63	79.7611	646.496	71.2275	72.7324	747.617	2146.58	38.3785
hsa-miR-9-5p	557.103	8642.77	3749.68	5579.49	8069.07	1495.23	306.654	5546.74
hsa-miR-93-3p	222.841	86.9039	1034.39	85.7368	79.4982	1246.03	613.309	62.1033
hsa-miR-95-3p	111.421	1377.37	129.299	100.246	1593.35	62.3014	613.309	109.553
hsa-miR-98-5p	334.262	134.523	872.77	957.614	73.5782	373.808	919.963	1101.11
hsa-miR-99a-5p	3008.36	6361.84	161.624	11.8713	5799.99	186.904	1533.27	6.9779
hsa-miR-99b-3p	891.365	191.665	1260.67	296.781	127.705	560.713	919.963	302.143
