Feature	CL1-0_Rep-2	20230818_CL1-0_CE_miRNA_Rep1	CL1-5_Rep-1	20230818_CL1-5_CE_miRNA_Rep1	20230823_CL1-0_CE_miRNA_Rep2	CL1-5_Rep-2	CL1-0_Rep-1	20230823_CL1-5_CE_miRNA_Rep2
hsa-let-7b-5p	4122.56	471.424	6109.39	4625.83	383.114	13830.9	2759.89	3849.71
hsa-let-7c-5p	8022.28	16520.1	1034.39	154.326	11452.8	1121.43	8586.32	114.438
hsa-let-7g-5p	2562.67	2151.17	4040.6	9297.83	1579.82	2990.47	1226.62	9340.62
hsa-let-7i-5p	17158.8	1821.41	33844.1	55268.6	889.704	23799.1	14106.1	61137.6
hsa-miR-100-5p	3231.2	1448.8	40276.7	14655.7	1439.43	32895.1	2759.89	12775.8
hsa-miR-101-3p	557.103	1665.46	290.923	728.103	1775.18	249.206	613.309	1046.69
hsa-miR-106b-3p	1114.21	451.186	4622.45	414.175	375.502	8348.39	613.309	341.917
hsa-miR-125b-1-3p	668.524	152.38	1519.27	399.665	139.545	6043.24	306.654	382.389
hsa-miR-1292-5p	779.944	1.19046	32.3248	7.91417	5.07436	124.603	919.963	9.76907
hsa-miR-1296-5p	222.841	116.666	420.222	54.0801	99.7957	872.22	306.654	53.7299
hsa-miR-1307-3p	1448.47	69.047	775.795	58.0372	89.647	1744.44	1226.62	53.0321
hsa-miR-130a-3p	2005.57	14727.2	2715.28	10122.2	12434.7	1619.84	1533.27	10679.7
hsa-miR-130b-3p	779.944	2367.83	775.795	2514.07	1674.54	996.823	1226.62	2159.66
hsa-miR-132-5p	111.421	278.569	420.222	133.222	337.445	1432.93	306.654	204.453
hsa-miR-140-3p	222.841	258.331	581.846	153.007	292.621	2429.76	1533.27	161.887
hsa-miR-142-3p	3899.72	32.1426	517.197	32.9757	18.606	1557.54	7973.01	41.1696
hsa-miR-142-5p	1337.05	4.76186	96.9744	1.31903	5.07436	560.713	1839.93	4.18674
hsa-miR-143-3p	557.103	14.2856	775.795	2.63806	4.22863	186.904	8586.32	7.67569
hsa-miR-146a-5p	6016.71	60.7137	517.197	100.246	29.6004	560.713	13799.4	69.0813
hsa-miR-148a-3p	668.524	11099.9	2941.56	9077.55	10965.7	2305.15	4599.82	10308.5
hsa-miR-15b-5p	1225.63	5003.52	2909.23	8986.54	5619.85	1495.23	919.963	7490.78
hsa-miR-17-5p	334.262	2028.55	1680.89	2371.61	1643.25	934.521	613.309	3100.28
hsa-miR-181a-2-3p	779.944	1890.46	129.299	25.0615	1339.63	249.206	1226.62	19.5381
hsa-miR-186-5p	1559.89	2133.31	6626.58	2210.69	1896.96	8223.79	2453.24	2371.79
hsa-miR-191-5p	18050.1	22442.6	54402.6	14695.3	19254.6	46165.3	27598.9	11977.6
hsa-miR-193a-5p	222.841	58.3328	549.522	130.584	39.7491	1121.43	613.309	103.971
hsa-miR-199a-3p	2116.99	11383.2	420.222	68.5895	9476.36	186.904	5213.12	80.2459
hsa-miR-19a-3p	445.682	6803.51	1196.02	7844.26	6522.24	311.507	613.309	11441.7
hsa-miR-19b-3p	1002.79	30049.7	2262.74	13922.3	37567.2	996.823	1226.62	18018.3
hsa-miR-200c-3p	557.103	84.523	290.923	40.8899	60.0465	249.206	4599.82	50.2409
hsa-miR-21-5p	33426.2	152688	64843.5	125767	135760	46040.7	25452.3	136398
hsa-miR-22-3p	779.944	209.522	1325.32	703.042	182.677	2118.25	919.963	601.495
hsa-miR-221-3p	16156	8524.92	71146.9	34887	9403.63	122360	10119.6	31231.7
hsa-miR-221-5p	334.262	3.57139	290.923	35.6138	5.07436	934.521	306.654	26.516
hsa-miR-222-3p	445.682	253.569	1583.92	294.143	216.506	2554.36	306.654	318.89
hsa-miR-23a-3p	3676.88	3749.96	4525.47	2503.52	3587.57	8348.39	7359.71	2464.6
hsa-miR-23b-3p	1337.05	492.852	2133.44	1080.28	532.807	3862.69	3373.2	777.339
hsa-miR-25-5p	1225.63	97.6181	5980.09	98.9271	104.87	13644	1226.62	71.1746
hsa-miR-27a-5p	668.524	173.808	1357.64	451.108	178.448	2492.06	613.309	434.026
hsa-miR-28-3p	1114.21	1488.08	4137.57	1138.32	1410.67	1682.14	1839.93	1124.14
hsa-miR-29a-3p	22172.7	60468.5	41796	108532	79784.9	22428.5	13799.4	110759
hsa-miR-29b-3p	2896.94	15779.6	3878.98	22922.1	16434.1	1744.44	1839.93	23937.7
hsa-miR-29c-3p	2005.57	8670.16	1292.99	5003.07	9797.74	934.521	2146.58	6135.67
hsa-miR-30a-5p	2785.52	8120.16	258.598	31.6567	5153.01	249.206	3373.2	53.0321
