Feature	CL1-0_Rep-2	20230818_CL1-0_CE_miRNA_Rep1	CL1-5_Rep-1	20230818_CL1-5_CE_miRNA_Rep1	20230823_CL1-0_CE_miRNA_Rep2	CL1-5_Rep-2	CL1-0_Rep-1	20230823_CL1-5_CE_miRNA_Rep2
hsa-let-7a-5p	10139.3	9278.48	42992	51103.1	9073.79	31649.1	7666.36	42585.5
hsa-let-7b-5p	4122.56	471.424	6109.39	4625.83	383.114	13830.9	2759.89	3849.71
hsa-let-7c-5p	8022.28	16520.1	1034.39	154.326	11452.8	1121.43	8586.32	114.438
hsa-let-7e-5p	3899.72	4767.81	13867.3	13174.5	3760.1	11152	2453.24	11343.3
hsa-miR-100-5p	3231.2	1448.8	40276.7	14655.7	1439.43	32895.1	2759.89	12775.8
hsa-miR-101-3p	557.103	1665.46	290.923	728.103	1775.18	249.206	613.309	1046.69
hsa-miR-106b-3p	1114.21	451.186	4622.45	414.175	375.502	8348.39	613.309	341.917
hsa-miR-10b-5p	1448.47	2495.21	96.9744	42.2089	2759.6	62.3014	2453.24	41.8674
hsa-miR-125a-5p	6796.66	10127.3	16582.6	18320	10397.4	12086.5	6439.74	14069.5
hsa-miR-125b-1-3p	668.524	152.38	1519.27	399.665	139.545	6043.24	306.654	382.389
hsa-miR-1292-5p	779.944	1.19046	32.3248	7.91417	5.07436	124.603	919.963	9.76907
hsa-miR-132-5p	111.421	278.569	420.222	133.222	337.445	1432.93	306.654	204.453
hsa-miR-141-3p	668.524	204.76	226.274	44.847	133.625	623.014	12879.5	74.6636
hsa-miR-142-3p	3899.72	32.1426	517.197	32.9757	18.606	1557.54	7973.01	41.1696
hsa-miR-142-5p	1337.05	4.76186	96.9744	1.31903	5.07436	560.713	1839.93	4.18674
hsa-miR-146a-5p	6016.71	60.7137	517.197	100.246	29.6004	560.713	13799.4	69.0813
hsa-miR-151a-3p	779.944	1864.27	4460.82	2095.94	1836.92	2990.47	306.654	2332.02
hsa-miR-15b-5p	1225.63	5003.52	2909.23	8986.54	5619.85	1495.23	919.963	7490.78
hsa-miR-16-5p	21392.8	82332.5	67170.9	90291.4	86357.1	35636.4	26065.6	86433.2
hsa-miR-17-5p	334.262	2028.55	1680.89	2371.61	1643.25	934.521	613.309	3100.28
hsa-miR-181a-2-3p	779.944	1890.46	129.299	25.0615	1339.63	249.206	1226.62	19.5381
hsa-miR-186-5p	1559.89	2133.31	6626.58	2210.69	1896.96	8223.79	2453.24	2371.79
hsa-miR-191-5p	18050.1	22442.6	54402.6	14695.3	19254.6	46165.3	27598.9	11977.6
hsa-miR-196a-5p	111.421	4315.44	2909.23	3228.98	3782.09	2242.85	919.963	3308.92
hsa-miR-199a-3p	2116.99	11383.2	420.222	68.5895	9476.36	186.904	5213.12	80.2459
hsa-miR-199b-3p	3008.36	11138	193.949	71.2275	9511.88	62.3014	4293.16	82.3393
hsa-miR-200c-3p	557.103	84.523	290.923	40.8899	60.0465	249.206	4599.82	50.2409
hsa-miR-203a-3p	779.944	47.6186	2521.33	2165.84	71.041	27973.3	613.309	2073.83
hsa-miR-20a-5p	2451.25	13799.9	13964.3	20138.9	11234.6	6915.46	3373.2	20325.2
hsa-miR-20b-5p	6685.24	71054.1	1486.94	1879.61	88857.1	809.918	6746.4	1613.99
hsa-miR-21-3p	779.944	2178.55	3717.35	2736.98	2241.17	9407.51	306.654	2985.15
hsa-miR-221-3p	16156	8524.92	71146.9	34887	9403.63	122360	10119.6	31231.7
hsa-miR-222-3p	445.682	253.569	1583.92	294.143	216.506	2554.36	306.654	318.89
hsa-miR-25-3p	6685.24	26739	39565.6	26366.1	28284.5	34328.1	12879.5	28180.3
hsa-miR-25-5p	1225.63	97.6181	5980.09	98.9271	104.87	13644	1226.62	71.1746
hsa-miR-27a-5p	668.524	173.808	1357.64	451.108	178.448	2492.06	613.309	434.026
hsa-miR-30a-3p	2562.67	9492.77	96.9744	108.16	7251.26	62.3014	2759.89	84.4326
hsa-miR-30a-5p	2785.52	8120.16	258.598	31.6567	5153.01	249.206	3373.2	53.0321
hsa-miR-30e-3p	779.944	3092.83	3135.51	1759.58	3458.17	2865.87	919.963	2158.27
hsa-miR-320a-3p	1894.15	445.234	5398.24	473.531	408.486	9282.91	1533.27	363.549
hsa-miR-339-5p	334.262	538.09	2230.41	755.803	559.871	4174.19	306.654	697.093
hsa-miR-340-5p	111.421	3359.49	549.522	2622.23	3801.54	560.713	306.654	3713.64
hsa-miR-34a-5p	2896.94	2.38093	258.598	836.264	5.92008	311.507	919.963	794.086
hsa-miR-361-5p	334.262	2135.69	3329.45	1873.02	2063.57	1308.33	613.309	1433.26
hsa-miR-363-3p	1782.73	10836.8	905.094	327.119	14602.3	498.411	5826.43	269.347
hsa-miR-375-3p	222.841	38.0949	32.3248	15.8283	56.6636	186.904	9506.29	7.67569
hsa-miR-423-3p	1671.31	359.52	3361.78	426.046	288.393	9719.02	613.309	344.708
hsa-miR-423-5p	4122.56	665.47	5915.44	788.779	538.727	13394.8	3373.2	589.633
hsa-miR-4443	3676.88	9.52372	258.598	3.95708	12.6859	124.603	3373.2	9.07128
hsa-miR-4454	1671.31	15.476	32.3248	2.63806	7.61153	249.206	1839.93	13.9558
hsa-miR-501-3p	668.524	16.6665	193.949	13.1903	14.3773	124.603	919.963	4.88453
hsa-miR-532-5p	445.682	3792.82	5592.19	2457.35	4047.64	2678.96	1226.62	2371.09
hsa-miR-574-3p	334.262	591.661	2198.09	1359.92	583.551	3364.28	1226.62	743.147
hsa-miR-7-5p	779.944	4704.72	6723.56	5942.22	4726.76	6230.14	3679.85	9511.58
hsa-miR-7704	135710	4.76186	4428.5	5.27611	0.845726	11588.1	217111	1.39558
hsa-miR-9-5p	557.103	8642.77	3749.68	5579.49	8069.07	1495.23	306.654	5546.74
hsa-miR-92a-3p	3231.2	5178.52	16485.6	4933.16	5956.45	11712.7	3066.54	4098.82
hsa-miR-93-3p	222.841	86.9039	1034.39	85.7368	79.4982	1246.03	613.309	62.1033
hsa-miR-93-5p	15264.6	42660.3	75446.1	33341.1	40058.7	41492.7	36798.5	32739.6
hsa-miR-99a-5p	3008.36	6361.84	161.624	11.8713	5799.99	186.904	1533.27	6.9779
hsa-miR-99b-5p	3676.88	2441.64	14643.1	4873.81	2296.15	12086.5	3679.85	4249.54
