microRNA ID	Chromosome	Start	Stop	Length	Strand	Total counts	Maximum counts	Geometric mean	Arithmetic mean	P-value (EV CL1-5 vs. EV CL1-0)	FDR step up (EV CL1-5 vs. EV CL1-0)	Ratio (EV CL1-5 vs. EV CL1-0)	Log2(Ratio) (EV CL1-5 vs. EV CL1-0)	Fold change (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-5) (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-0) (EV CL1-5 vs. EV CL1-0)	FC 95% lower limit (EV CL1-5 vs. EV CL1-0)	FC 95% upper limit (EV CL1-5 vs. EV CL1-0)	P-value (CE CL1-5 vs. CE CL1-0)	FDR step up (CE CL1-5 vs. CE CL1-0)	Ratio (CE CL1-5 vs. CE CL1-0)	Log2(Ratio) (CE CL1-5 vs. CE CL1-0)	Fold change (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-5) (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-0) (CE CL1-5 vs. CE CL1-0)	FC 95% lower limit (CE CL1-5 vs. CE CL1-0)	FC 95% upper limit (CE CL1-5 vs. CE CL1-0)	P-value (EV CL1-0 vs. CE CL1-0)	FDR step up (EV CL1-0 vs. CE CL1-0)	Ratio (EV CL1-0 vs. CE CL1-0)	Log2(Ratio) (EV CL1-0 vs. CE CL1-0)	Fold change (EV CL1-0 vs. CE CL1-0)	LSMean(EV CL1-0) (EV CL1-0 vs. CE CL1-0)	LSMean(CE CL1-0) (EV CL1-0 vs. CE CL1-0)	FC 95% lower limit (EV CL1-0 vs. CE CL1-0)	FC 95% upper limit (EV CL1-0 vs. CE CL1-0)	P-value (EV CL1-5 vs. CE CL1-5)	FDR step up (EV CL1-5 vs. CE CL1-5)	Ratio (EV CL1-5 vs. CE CL1-5)	Log2(Ratio) (EV CL1-5 vs. CE CL1-5)	Fold change (EV CL1-5 vs. CE CL1-5)	LSMean(EV CL1-5) (EV CL1-5 vs. CE CL1-5)	LSMean(CE CL1-5) (EV CL1-5 vs. CE CL1-5)	FC 95% lower limit (EV CL1-5 vs. CE CL1-5)	FC 95% upper limit (EV CL1-5 vs. CE CL1-5)
hsa-let-7a-5p	9	94175962	94175984	22	+	204487.57170420443E0	51103.10314535425E0	19315.900722983668E0	25560.946463025553E0	1.375967953479663E-4	0.0015823631465016125E0	4.19199307433122E0	2.067636333374348E0	4.19199307433122E0	37320.550942345544E0	8902.817889141443E0	2.5829178581025056E0	6.8034706872755395E0	5.612175171558054E-5	5.163201157833409E-4	5.105009723781954E0	2.3519137090832225E0	5.105009723781954E0	46844.2781539575E0	9176.138866657726E0	3.145477711326367E0	8.285267508355352E0	0.8539022125170495E0	0.8927159494496426E0	0.970213944945411E0	-0.04362517926000319E0	-1.0307005018942135E0	8902.817889141443E0	9176.138866657726E0	-1.6727939497171518E0	1.574626202328625E0	0.2957455072915496E0	0.35489460874985945E0	0.7966939061611963E0	-0.32790255496887794E0	-1.2551872083701723E0	37320.550942345544E0	46844.2781539575E0	-2.0371286945773575E0	1.293008729067017E0
hsa-let-7b-5p	22	46113691	46113713	22	+	36152.83255039049E0	13830.913961746932E0	2730.757409241435E0	4519.104068798812E0	0.014894591970567066E0	0.04282195191538032E0	2.897266885849014E0	1.534692586629819E0	2.897266885849014E0	9970.150541773388E0	3441.2261392552664E0	1.3713663228430244E0	6.1210161486502335E0	1.0588531743455826E-4	9.13260862873065E-4	9.918273304376989E0	3.310088980285519E0	9.918273304376989E0	4237.7706055203325E0	427.2689886462613E0	4.694626531235076E0	20.95420044295562E0	2.148224803754431E-4	0.0010587679389932553E0	8.05400398691687E0	3.0097061864510093E0	8.05400398691687E0	3441.2261392552664E0	427.2689886462613E0	3.8122100127012044E0	17.01558413758802E0	0.043164347800751166E0	0.07353925921609458E0	2.3526876436740753E0	1.2343097927953093E0	2.3526876436740753E0	9970.150541773388E0	4237.7706055203325E0	1.1136000685549805E0	4.970491027249244E0
hsa-let-7c-5p	21	16539838	16539860	22	+	47006.093072485695E0	16520.08076113561E0	2010.5360599034616E0	5875.761634060712E0	4.819841770815465E-5	0.00102436433915638E0	0.12980131327140554E0	-2.945623114935831E0	-7.704082299299001E0	1077.9095215588109E0	8304.303668150395E0	-13.97156877248711E0	-4.248118807620961E0	9.81413764363906E-8	7.264514105275119E-6	0.009608009422968834E0	-6.701546718707659E0	-104.07983131338398E0	134.3819566425541E0	13986.451389891088E0	-188.7516857336943E0	-57.39080551315426E0	0.08600449699454119E0	0.11522932607035614E0	0.5937391435030855E0	-0.75209886593739E0	-1.6842413220391006E0	8304.303668150395E0	13986.451389891088E0	-3.0544187543888324E0	1.0767625466729194E0	4.045993095542792E-5	8.208021858720892E-4	8.021236988288283E0	3.0038247378344374E0	8.021236988288283E0	1077.9095215588109E0	134.3819566425541E0	4.423001518744535E0	14.546737673413013E0
hsa-let-7d-5p	9	94178841	94178863	22	+	8645.636600155447E0	3373.1984053971173E0	530.2372440502927E0	1080.7045750194309E0	0.9124132431234967E0	0.9326890929706855E0	0.7915080540331435E0	-0.33732406422856026E0	-1.2634110226730884E0	1599.527790079904E0	2020.8610411386705E0	-4.191103901316829E0	2.6256637259372404E0	0.0012166837275658792E0	0.007300102365395275E0	12.032798603637403E0	3.58890032027962E0	12.032798603637403E0	648.5324134415471E0	53.89705541760304E0	3.6272950390622167E0	39.91631247981722E0	1.8938054933629594E-4	0.0010051736849388015E0	37.49483203198921E0	5.228619855412704E0	37.49483203198921E0	2020.8610411386705E0	53.89705541760304E0	11.30284173284448E0	124.38132483283779E0	0.12206556662545522E0	0.1684504819431282E0	2.466380641405246E0	1.3023954709045245E0	2.466380641405246E0	1599.527790079904E0	648.5324134415471E0	-1.3450042696134443E0	8.18170598706303E0
hsa-let-7e-5p	19	51692793	51692815	22	+	64417.89203719439E0	13867.339022498061E0	6679.797495774879E0	8052.236504649299E0	4.913060307591206E-4	0.0030818287383981196E0	3.9382123214422378E0	1.977540893574265E0	3.9382123214422378E0	12509.646085917277E0	3176.4783261965713E0	2.2298592636242835E0	6.95537899712612E0	0.0026345959678212207E0	0.013983624752281864E0	2.874999191534046E0	1.5235615503631044E0	2.874999191534046E0	12258.86675446801E0	4263.95485201534E0	1.6278562598693922E0	5.077610692718405E0	0.2385742671788563E0	0.29395757920251936E0	0.744960590953058E0	-0.42476398708492286E0	-1.3423528870442125E0	3176.4783261965713E0	4263.95485201534E0	-2.3707642745528057E0	1.3156942351203704E0	0.9463274080302588E0	0.9532349073589469E0	1.0204569750556336E0	0.02921535612623818E0	1.0204569750556336E0	12509.646085917277E0	12258.86675446801E0	-1.7307206458998132E0	1.8022555495874142E0
hsa-let-7f-5p	9	94176353	94176375	22	+	101097.0063748208E0	22820.53876400378E0	11416.159878478193E0	12637.1257968526E0	0.2455096918536481E0	0.3735547024054736E0	1.3605698432564743E0	0.44421101754565695E0	1.3605698432564743E0	12112.905540599942E0	8902.817889141445E0	-1.278554430766965E0	2.366796416007992E0	0.0017995447510739037E0	0.009933487025927949E0	2.9562912268414214E0	1.5637883976384839E0	2.9562912268414214E0	22068.015901746418E0	7464.763855922598E0	1.6994451503810886E0	5.1426536572479264E0	0.4650479062758873E0	0.5175533150489714E0	1.1926456162190604E0	0.2541654230204972E0	1.1926456162190604E0	8902.817889141445E0	7464.763855922598E0	-1.4585745990315735E0	2.0746817107740436E0	0.03332744056204001E0	0.06300255887070577E0	0.5488896507849802E0	-0.8654119570723295E0	-1.821859819309539E0	12112.905540599942E0	22068.015901746418E0	-3.1692392067798876E0	-1.047309144135901E0
hsa-let-7g-5p	3	52268336	52268358	22	-	33189.79729165595E0	9340.622917531637E0	3207.770440918943E0	4148.724661456994E0	0.057571392079204205E0	0.11857988219298776E0	1.8555097875800768E0	0.8918156110898701E0	1.8555097875800768E0	3515.5339159506384E0	1894.6458483350534E0	-1.0860836727976158E0	3.7392954754422525E0	7.067196619843874E-4	0.004876365667692273E0	4.995583039446992E0	2.320653066212147E0	4.995583039446992E0	9319.225766790521E0	1865.493114751759E0	2.4789036558461923E0	10.067293194374502E0	0.9009775722992295E0	0.9285726656202875E0	1.015627360587826E0	0.0223711662389333E0	1.015627360587826E0	1894.6458483350534E0	1865.493114751759E0	-1.9842305979631258E0	2.046731749733505E0	0.011808159285889998E0	0.029627745117323995E0	0.37723454764420156E0	-1.406466288883343E0	-2.65087067514075E0	3515.5339159506384E0	9319.225766790521E0	-5.342137663668116E0	-1.31541262669298E0
hsa-let-7i-5p	12	62603691	62603713	22	+	208025.3986643775E0	61137.607765012086E0	13444.577971198232E0	26003.17483304719E0	0.06194700170836723E0	0.12571597405521584E0	1.8437048633760995E0	0.8826077304842525E0	1.8437048633760995E0	28821.602703639714E0	15632.438397914404E0	-1.0278581752775784E0	3.4939444593367015E0	7.654661024441751E-7	1.7605720356216024E-5	42.936651752330384E0	5.424137787512842E0	42.936651752330384E0	58203.100721851064E0	1355.557508783575E0	22.657061259607392E0	81.36783683361244E0	1.847145918512714E-5	2.5490613675475455E-4	11.532110065538593E0	3.5275846063653313E0	11.532110065538593E0	15632.438397914404E0	1355.557508783575E0	6.085330680058483E0	21.854122570446485E0	0.03231364500397134E0	0.06300255887070577E0	0.4951901591084823E0	-1.0139454506632577E0	-2.0194262377918704E0	28821.602703639714E0	58203.100721851064E0	-3.826948257679326E0	-1.0656225418514513E0
hsa-miR-100-5p	11	122152275	122152297	22	-	109482.72160282344E0	40276.70028445824E0	6807.760587329073E0	13685.34020035293E0	2.4348543798456226E-6	1.8717491179576025E-4	12.213450143699223E0	3.6103988957121205E0	12.213450143699223E0	36585.92350214439E0	2995.543688001788E0	7.5064027847793575E0	19.87215030814673E0	5.421400658528413E-6	5.7550253144378536E-5	9.497736340702438E0	3.247583707213228E0	9.497736340702438E0	13715.78288929278E0	1444.110721972771E0	5.837321451197681E0	15.453491186268552E0	0.008823981672001761E0	0.017150837616003424E0	2.0743171850012563E0	1.0526365143249783E0	2.0743171850012563E0	2995.543688001788E0	1444.110721972771E0	1.2748781147677448E0	3.3750612973503062E0	0.0016886787265068684E0	0.005683845469706045E0	2.6674323873005794E0	1.4154517028238713E0	2.6674323873005794E0	36585.92350214439E0	13715.78288929278E0	1.6394075109540818E0	4.340101831471576E0
hsa-miR-101-3p	1	65058442	65058463	21	-	6925.969147809574E0	1775.1789556298293E0	697.1754742368524E0	865.7461434761967E0	0.024814577805119743E0	0.06226203158375499E0	0.4614861395760997E0	-1.1156407767348637E0	-2.166912317060172E0	270.06442662229813E0	585.205932524073E0	-4.14403564881695E0	-1.1330763988885009E0	0.04245971168480155E0	0.141051467030619E0	0.5158312157542205E0	-0.9550290137898335E0	-1.938618620701064E0	887.3945724688766E0	1720.3196422895387E0	-3.707443356335156E0	-1.0137018412181364E0	0.004984414193145838E0	0.011464152644235427E0	0.3401727901285822E0	-1.555660348114488E0	-2.9396825055349347E0	585.205932524073E0	1720.3196422895387E0	-5.621892959502717E0	-1.53715719875829E0	0.0030802830947734574E0	0.00867508300160688E0	0.3043340978807092E0	-1.7162721110595178E0	-3.285862500993803E0	270.06442662229813E0	887.3945724688766E0	-6.283932780308722E0	-1.7181743906093812E0
