microRNA ID	Chromosome	Start	Stop	Length	Strand	Total counts	Maximum counts	Geometric mean	Arithmetic mean	P-value (EV CL1-5 vs. EV CL1-0)	FDR step up (EV CL1-5 vs. EV CL1-0)	Ratio (EV CL1-5 vs. EV CL1-0)	Log2(Ratio) (EV CL1-5 vs. EV CL1-0)	Fold change (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-5) (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-0) (EV CL1-5 vs. EV CL1-0)	FC 95% lower limit (EV CL1-5 vs. EV CL1-0)	FC 95% upper limit (EV CL1-5 vs. EV CL1-0)
hsa-let-7a-5p	9	94175962	94175984	22	+	2.04E+05	5.11E+04	1.93E+04	2.56E+04	1.38E-04	1.58E-03	4.19E+00	2.07E+00	4.19E+00	3.73E+04	8.90E+03	2.58E+00	6.80E+00
hsa-let-7b-5p	22	46113691	46113713	22	+	3.62E+04	1.38E+04	2.73E+03	4.52E+03	1.49E-02	4.28E-02	2.90E+00	1.53E+00	2.90E+00	9.97E+03	3.44E+03	1.37E+00	6.12E+00
hsa-let-7c-5p	21	16539838	16539860	22	+	4.70E+04	1.65E+04	2.01E+03	5.88E+03	4.82E-05	1.02E-03	1.30E-01	-2.95E+00	-7.70E+00	1.08E+03	8.30E+03	-1.40E+01	-4.25E+00
hsa-let-7e-5p	19	51692793	51692815	22	+	6.44E+04	1.39E+04	6.68E+03	8.05E+03	4.91E-04	3.08E-03	3.94E+00	1.98E+00	3.94E+00	1.25E+04	3.18E+03	2.23E+00	6.96E+00
hsa-miR-100-5p	11	122152275	122152297	22	-	1.09E+05	4.03E+04	6.81E+03	1.37E+04	2.43E-06	1.87E-04	1.22E+01	3.61E+00	1.22E+01	3.66E+04	3.00E+03	7.51E+00	1.99E+01
hsa-miR-101-3p	1	65058442	65058463	21	-	6.93E+03	1.78E+03	6.97E+02	8.66E+02	2.48E-02	6.23E-02	4.61E-01	-1.12E+00	-2.17E+00	2.70E+02	5.85E+02	-4.14E+00	-1.13E+00
hsa-miR-106b-3p	7	100094002	100094024	22	-	1.63E+04	8.35E+03	9.44E+02	2.04E+03	3.12E-04	2.69E-03	7.51E+00	2.91E+00	7.51E+00	6.49E+03	8.64E+02	3.48E+00	1.62E+01
hsa-miR-10b-5p	2	176150329	176150352	23	+	9.40E+03	2.76E+03	3.57E+02	1.17E+03	1.50E-05	6.88E-04	4.08E-02	-4.61E+00	-2.45E+01	7.96E+01	1.95E+03	-5.40E+01	-1.11E+01
hsa-miR-125a-5p	19	51693268	51693292	24	+	9.48E+04	1.83E+04	1.11E+04	1.19E+04	7.59E-03	2.55E-02	2.17E+00	1.11E+00	2.17E+00	1.43E+04	6.62E+03	1.32E+00	3.55E+00
hsa-miR-125b-1-3p	11	122099769	122099791	22	-	9.61E+03	6.04E+03	5.29E+02	1.20E+03	4.36E-03	1.82E-02	7.75E+00	2.96E+00	7.75E+00	3.78E+03	4.88E+02	2.54E+00	2.36E+01
hsa-miR-1292-5p	20	2652779	2652804	25	+	1.88E+03	9.20E+02	3.28E+01	2.35E+02	8.66E-03	2.78E-02	9.23E-02	-3.44E+00	-1.08E+01	7.85E+01	8.50E+02	-6.11E+01	-1.92E+00
hsa-miR-132-5p	17	2049965	2049987	22	-	3.22E+03	1.43E+03	2.92E+02	4.03E+02	2.43E-02	6.20E-02	4.43E+00	2.15E+00	4.43E+00	9.27E+02	2.09E+02	1.34E+00	1.46E+01
hsa-miR-141-3p	12	6964155	6964177	22	+	1.49E+04	1.29E+04	3.20E+02	1.86E+03	4.31E-02	9.45E-02	6.27E-02	-4.00E+00	-1.60E+01	4.25E+02	6.77E+03	-1.15E+02	-2.21E+00
hsa-miR-142-3p	17	58331245	58331268	23	-	1.41E+04	7.97E+03	2.59E+02	1.76E+03	5.24E-03	2.07E-02	1.75E-01	-2.52E+00	-5.72E+00	1.04E+03	5.94E+03	-1.73E+01	-1.89E+00
hsa-miR-142-5p	17	58331283	58331304	21	-	3.85E+03	1.84E+03	4.53E+01	4.81E+02	3.21E-02	7.27E-02	2.07E-01	-2.27E+00	-4.83E+00	3.29E+02	1.59E+03	-2.64E+01	1.13E+00
hsa-miR-146a-5p	5	160485372	160485394	22	+	2.12E+04	1.38E+04	3.63E+02	2.64E+03	1.36E-04	1.58E-03	5.44E-02	-4.20E+00	-1.84E+01	5.39E+02	9.91E+03	-4.78E+01	-7.07E+00
hsa-miR-151a-3p	8	140732587	140732608	21	-	1.67E+04	4.46E+03	1.64E+03	2.08E+03	4.07E-04	3.08E-03	6.86E+00	2.78E+00	6.86E+00	3.73E+03	5.43E+02	3.09E+00	1.52E+01
hsa-miR-15b-5p	3	160404607	160404629	22	+	3.37E+04	8.99E+03	3.13E+03	4.21E+03	4.69E-02	1.01E-01	2.05E+00	1.04E+00	2.05E+00	2.20E+03	1.07E+03	1.06E+00	3.98E+00
hsa-miR-16-5p	3	160404754	160404776	22	+	4.96E+05	9.03E+04	5.42E+04	6.20E+04	1.33E-02	3.90E-02	2.17E+00	1.12E+00	2.17E+00	5.14E+04	2.37E+04	1.27E+00	3.68E+00
hsa-miR-17-5p	13	91350618	91350641	23	+	1.27E+04	3.10E+03	1.29E+03	1.59E+03	1.53E-02	4.31E-02	2.76E+00	1.46E+00	2.76E+00	1.31E+03	4.74E+02	1.29E+00	5.93E+00
hsa-miR-181a-2-3p	9	124692518	124692540	22	+	5.66E+03	1.89E+03	2.80E+02	7.07E+02	2.29E-03	1.05E-02	1.89E-01	-2.41E+00	-5.30E+00	1.89E+02	1.00E+03	-1.29E+01	-2.18E+00
hsa-miR-186-5p	1	71067681	71067703	22	-	2.75E+04	8.22E+03	2.86E+03	3.43E+03	8.12E-04	4.48E-03	3.70E+00	1.89E+00	3.70E+00	7.43E+03	2.01E+03	2.06E+00	6.66E+00
hsa-miR-191-5p	3	49020672	49020695	23	-	2.15E+05	5.44E+04	2.36E+04	2.68E+04	5.79E-03	2.10E-02	2.20E+00	1.14E+00	2.20E+00	5.03E+04	2.28E+04	1.34E+00	3.63E+00
hsa-miR-196a-5p	12	53991762	53991784	22	+	2.08E+04	4.32E+03	1.81E+03	2.60E+03	7.33E-03	2.54E-02	5.00E+00	2.32E+00	5.00E+00	2.58E+03	5.16E+02	1.31E+00	1.91E+01
hsa-miR-199a-3p	1	172144554	172144576	22	-	2.89E+04	1.14E+04	9.20E+02	3.62E+03	2.62E-04	2.41E-03	8.28E-02	-3.59E+00	-1.21E+01	3.04E+02	3.67E+03	-3.03E+01	-4.81E+00
