microRNA ID	Chromosome	Start	Stop	Length	Strand	Total counts	Maximum counts	Geometric mean	Arithmetic mean	P-value (CE CL1-5 vs. CE CL1-0)	FDR step up (CE CL1-5 vs. CE CL1-0)	Ratio (CE CL1-5 vs. CE CL1-0)	Log2(Ratio) (CE CL1-5 vs. CE CL1-0)	Fold change (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-5) (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-0) (CE CL1-5 vs. CE CL1-0)	FC 95% lower limit (CE CL1-5 vs. CE CL1-0)	FC 95% upper limit (CE CL1-5 vs. CE CL1-0)
hsa-let-7a-5p	9	94175962	94175984	22	+	204487.57170420443E0	51103.10314535425E0	19315.900722983668E0	25560.946463025553E0	5.612175171558054E-5	5.163201157833409E-4	5.105009723781954E0	2.3519137090832225E0	5.105009723781954E0	46844.2781539575E0	9176.138866657726E0	3.145477711326367E0	8.285267508355352E0
hsa-let-7b-5p	22	46113691	46113713	22	+	36152.83255039049E0	13830.913961746932E0	2730.757409241435E0	4519.104068798812E0	1.0588531743455826E-4	9.13260862873065E-4	9.918273304376989E0	3.310088980285519E0	9.918273304376989E0	4237.7706055203325E0	427.2689886462613E0	4.694626531235076E0	20.95420044295562E0
hsa-let-7c-5p	21	16539838	16539860	22	+	47006.093072485695E0	16520.08076113561E0	2010.5360599034616E0	5875.761634060712E0	9.81413764363906E-8	7.264514105275119E-6	0.009608009422968834E0	-6.701546718707659E0	-104.07983131338398E0	134.3819566425541E0	13986.451389891088E0	-188.7516857336943E0	-57.39080551315426E0
hsa-let-7d-5p	9	94178841	94178863	22	+	8645.636600155447E0	3373.1984053971173E0	530.2372440502927E0	1080.7045750194309E0	0.0012166837275658792E0	0.007300102365395275E0	12.032798603637403E0	3.58890032027962E0	12.032798603637403E0	648.5324134415471E0	53.89705541760304E0	3.6272950390622167E0	39.91631247981722E0
hsa-let-7e-5p	19	51692793	51692815	22	+	64417.89203719439E0	13867.339022498061E0	6679.797495774879E0	8052.236504649299E0	0.0026345959678212207E0	0.013983624752281864E0	2.874999191534046E0	1.5235615503631044E0	2.874999191534046E0	12258.86675446801E0	4263.95485201534E0	1.6278562598693922E0	5.077610692718405E0
hsa-let-7f-5p	9	94176353	94176375	22	+	101097.0063748208E0	22820.53876400378E0	11416.159878478193E0	12637.1257968526E0	0.0017995447510739037E0	0.009933487025927949E0	2.9562912268414214E0	1.5637883976384839E0	2.9562912268414214E0	22068.015901746418E0	7464.763855922598E0	1.6994451503810886E0	5.1426536572479264E0
hsa-let-7g-5p	3	52268336	52268358	22	-	33189.79729165595E0	9340.622917531637E0	3207.770440918943E0	4148.724661456994E0	7.067196619843874E-4	0.004876365667692273E0	4.995583039446992E0	2.320653066212147E0	4.995583039446992E0	9319.225766790521E0	1865.493114751759E0	2.4789036558461923E0	10.067293194374502E0
hsa-let-7i-5p	12	62603691	62603713	22	+	208025.3986643775E0	61137.607765012086E0	13444.577971198232E0	26003.17483304719E0	7.654661024441751E-7	1.7605720356216024E-5	42.936651752330384E0	5.424137787512842E0	42.936651752330384E0	58203.100721851064E0	1355.557508783575E0	22.657061259607392E0	81.36783683361244E0
hsa-miR-100-5p	11	122152275	122152297	22	-	109482.72160282344E0	40276.70028445824E0	6807.760587329073E0	13685.34020035293E0	5.421400658528413E-6	5.7550253144378536E-5	9.497736340702438E0	3.247583707213228E0	9.497736340702438E0	13715.78288929278E0	1444.110721972771E0	5.837321451197681E0	15.453491186268552E0
hsa-miR-10a-5p	17	48579904	48579927	23	-	16406.23357443106E0	6133.088009812941E0	1237.0828006830473E0	2050.7791968038823E0	0.013577528878175904E0	0.05677875712691741E0	6.831758139485549E0	2.772256901020873E0	6.831758139485549E0	1686.8114048778943E0	246.90736555517742E0	1.6734880526959908E0	27.88960411234304E0
