microRNA ID	Chromosome	Start	Stop	Length	Strand	Total counts	Maximum counts	Geometric mean	Arithmetic mean	P-value (EV CL1-5 vs. CE CL1-5)	FDR step up (EV CL1-5 vs. CE CL1-5)	Ratio (EV CL1-5 vs. CE CL1-5)	Log2(Ratio) (EV CL1-5 vs. CE CL1-5)	Fold change (EV CL1-5 vs. CE CL1-5)	LSMean(EV CL1-5) (EV CL1-5 vs. CE CL1-5)	LSMean(CE CL1-5) (EV CL1-5 vs. CE CL1-5)	FC 95% lower limit (EV CL1-5 vs. CE CL1-5)	FC 95% upper limit (EV CL1-5 vs. CE CL1-5)
hsa-let-7b-5p	22	46113691	46113713	22	+	36152.83255039049E0	13830.913961746932E0	2730.757409241435E0	4519.104068798812E0	0.043164347800751166E0	0.07353925921609458E0	2.3526876436740753E0	1.2343097927953093E0	2.3526876436740753E0	9970.150541773388E0	4237.7706055203325E0	1.1136000685549805E0	4.970491027249244E0
hsa-let-7c-5p	21	16539838	16539860	22	+	47006.093072485695E0	16520.08076113561E0	2010.5360599034616E0	5875.761634060712E0	4.045993095542792E-5	8.208021858720892E-4	8.021236988288283E0	3.0038247378344374E0	8.021236988288283E0	1077.9095215588109E0	134.3819566425541E0	4.423001518744535E0	14.546737673413013E0
hsa-let-7g-5p	3	52268336	52268358	22	-	33189.79729165595E0	9340.622917531637E0	3207.770440918943E0	4148.724661456994E0	0.011808159285889998E0	0.029627745117323995E0	0.37723454764420156E0	-1.406466288883343E0	-2.65087067514075E0	3515.5339159506384E0	9319.225766790521E0	-5.342137663668116E0	-1.31541262669298E0
hsa-let-7i-5p	12	62603691	62603713	22	+	208025.3986643775E0	61137.607765012086E0	13444.577971198232E0	26003.17483304719E0	0.03231364500397134E0	0.06300255887070577E0	0.4951901591084823E0	-1.0139454506632577E0	-2.0194262377918704E0	28821.602703639714E0	58203.100721851064E0	-3.826948257679326E0	-1.0656225418514513E0
hsa-miR-100-5p	11	122152275	122152297	22	-	109482.72160282344E0	40276.70028445824E0	6807.760587329073E0	13685.34020035293E0	0.0016886787265068684E0	0.005683845469706045E0	2.6674323873005794E0	1.4154517028238713E0	2.6674323873005794E0	36585.92350214439E0	13715.78288929278E0	1.6394075109540818E0	4.340101831471576E0
hsa-miR-101-3p	1	65058442	65058463	21	-	6925.969147809574E0	1775.1789556298293E0	697.1754742368524E0	865.7461434761967E0	0.0030802830947734574E0	0.00867508300160688E0	0.3043340978807092E0	-1.7162721110595178E0	-3.285862500993803E0	270.06442662229813E0	887.3945724688766E0	-6.283932780308722E0	-1.7181743906093812E0
hsa-miR-106b-3p	7	100094002	100094024	22	-	16281.131440517123E0	8348.389508441842E0	944.384976061087E0	2035.1414300646404E0	3.128531853353937E-5	8.208021858720892E-4	17.155099849746723E0	4.100565617886701E0	17.155099849746723E0	6485.417924637264E0	378.0460608406247E0	7.945124348673269E0	37.0412642948658E0
hsa-miR-125b-1-3p	11	122099769	122099791	22	-	9611.659796173091E0	6043.23718148402E0	528.8274253510483E0	1201.4574745216364E0	0.0028636085923765724E0	0.008408042249956744E0	9.670043736932831E0	3.2735224149258397E0	9.670043736932831E0	3781.25138101871E0	391.0273296001824E0	3.1724963610014965E0	29.47513101155288E0
hsa-miR-1292-5p	20	2652779	2652804	25	+	1880.7831747814835E0	919.9632014719411E0	32.830818129869016E0	235.09789684768543E0	0.029972049473211113E0	0.06173347503437513E0	8.874373541361617E0	3.149645280555923E0	8.874373541361617E0	78.46381403522459E0	8.84161722972253E0	1.573451362402039E0	50.05207509648858E0
hsa-miR-1296-5p	10	63373012	63373034	22	-	2146.2090620870517E0	872.2197993894462E0	174.18358827583717E0	268.27613276088147E0	3.318155029646668E-4	0.0016959459040416303E0	11.98814607165403E0	3.5835366627276137E0	11.98814607165403E0	646.2210970052997E0	53.905006901961315E0	4.722411950644684E0	30.432678838129426E0
hsa-miR-1307-3p	10	103394301	103394323	22	-	5465.083586426191E0	1744.4395987788923E0	286.82587027436557E0	683.1354483032738E0	4.34074046396973E-5	8.208021858720892E-4	22.690650055593085E0	4.504026035697812E0	22.690650055593085E0	1260.117394424357E0	55.53465373061863E0	9.466099939609698E0	54.39046737622075E0
hsa-miR-130a-3p	11	57641252	57641274	22	+	55837.8175335275E0	14727.240692945781E0	4769.434144353325E0	6979.727191690938E0	2.5102002674865886E-4	0.0014433651538047884E0	0.20840015187604558E0	-2.2625717658758453E0	-4.798460994379651E0	2167.55996776953E0	10400.951961075527E0	-8.66923900321945E0	-2.6559687541238852E0
hsa-miR-130b-3p	22	21653354	21653376	22	+	12495.280724717672E0	2514.067433989242E0	1413.4105357668875E0	1561.910090589709E0	0.00941890877156517E0	0.024996334816846027E0	0.3792727111545713E0	-1.3986925220906028E0	-2.6366252318966694E0	886.3089089717371E0	2336.864433032288E0	-5.108463095559483E0	-1.360838374171087E0
hsa-miR-132-5p	17	2049965	2049987	22	-	3224.917832882323E0	1432.932527568376E0	291.8789961211143E0	403.1147291102904E0	0.01735613559096978E0	0.03926470018940704E0	5.487993002121596E0	2.456278641895035E0	5.487993002121596E0	926.5774610947647E0	168.8372161681243E0	1.6632110758496683E0	18.108385417015985E0
hsa-miR-140-3p	16	69933142	69933163	21	+	5633.561494185535E0	2429.755155442029E0	416.4367915678274E0	704.1951867731918E0	0.016329396689796265E0	0.03755761238653141E0	9.563838840744411E0	3.2575898195499833E0	9.563838840744411E0	1505.8007739971974E0	157.4473178079827E0	2.052549975305159E0	44.562624283061716E0
