Chromosome	Start	Stop	Length	Strand	Gene Symbol	CL1-0_Rep-2	20230818_CL1-0_CE_miRNA_Rep1	CL1-5_Rep-1	20230818_CL1-5_CE_miRNA_Rep1	20230823_CL1-0_CE_miRNA_Rep2	CL1-5_Rep-2	CL1-0_Rep-1	20230823_CL1-5_CE_miRNA_Rep2
11	122146523	122146545	22	-	hsa-let-7a-2-3p	0	23.8093	193.949	267.763	18.606	436.11	0	223.293
9	94176013	94176034	21	+	hsa-let-7a-3p	0	66.666	226.274	120.032	63.4295	124.603	0	132.58
9	94175962	94175984	22	+	hsa-let-7a-5p	10139.3	9278.48	42992	51103.1	9073.79	31649.1	7666.36	42585.5
22	46113745	46113767	22	+	hsa-let-7b-3p	0	1.19046	64.6496	5.27611	0.845726	62.3014	0	4.18674
22	46113691	46113713	22	+	hsa-let-7b-5p	4122.56	471.424	6109.39	4625.83	383.114	13830.9	2759.89	3849.71
21	16539883	16539905	22	+	hsa-let-7c-3p	0	502.376	0	0	367.891	0	0	0
21	16539838	16539860	22	+	hsa-let-7c-5p	8022.28	16520.1	1034.39	154.326	11452.8	1121.43	8586.32	114.438
9	94178895	94178917	22	+	hsa-let-7d-3p	111.421	4.76186	290.923	14.5093	0.845726	436.11	0	15.3514
9	94178841	94178863	22	+	hsa-let-7d-5p	668.524	71.4279	1454.62	663.471	36.3662	1744.44	3373.2	633.594
19	51692838	51692860	22	+	hsa-let-7e-3p	0	21.4284	64.6496	55.3992	16.0688	373.808	0	47.4498
19	51692793	51692815	22	+	hsa-let-7e-5p	3899.72	4767.81	13867.3	13174.5	3760.1	11152	2453.24	11343.3
9	94176409	94176431	22	+	hsa-let-7f-1-3p	0	0	64.6496	7.91417	0	124.603	0	13.258
X	53557196	53557218	22	-	hsa-let-7f-2-3p	111.421	119.046	32.3248	135.86	69.3495	311.507	0	190.497
9	94176353	94176375	22	+	hsa-let-7f-5p	10139.3	8854.68	14319.9	21315.5	6074.85	9905.92	7666.36	22820.5
3	52268280	52268301	21	-	hsa-let-7g-3p	0	1.19046	0	7.91417	2.53718	62.3014	0	7.67569
3	52268336	52268358	22	-	hsa-let-7g-5p	2562.67	2151.17	4040.6	9297.83	1579.82	2990.47	1226.62	9340.62
12	62603747	62603769	22	+	hsa-let-7i-3p	111.421	17.857	64.6496	308.653	4.22863	124.603	0	272.138
12	62603691	62603713	22	+	hsa-let-7i-5p	17158.8	1821.41	33844.1	55268.6	889.704	23799.1	14106.1	61137.6
18	21829015	21829037	22	-	hsa-miR-1-3p	0	19.0474	32.3248	43.5279	19.4517	0	0	71.1746
11	122152240	122152262	22	-	hsa-miR-100-3p	445.682	691.66	5850.79	4892.27	570.865	3675.78	0	4716.37
11	122152275	122152297	22	-	hsa-miR-100-5p	3231.2	1448.8	40276.7	14655.7	1439.43	32895.1	2759.89	12775.8
9	4850308	4850330	22	+	hsa-miR-101-2-5p	0	2.38093	0	3.95708	2.53718	0	0	6.9779
1	65058442	65058463	21	-	hsa-miR-101-3p	557.103	1665.46	290.923	728.103	1775.18	249.206	613.309	1046.69
1	65058477	65058499	22	-	hsa-miR-101-5p	0	2.38093	0	1.31903	2.53718	0	0	3.48895
20	3917504	3917527	23	+	hsa-miR-103a-2-5p	0	3.57139	0	1.31903	0.845726	0	0	5.58232
5	168560904	168560927	23	-	hsa-miR-103a-3p	5236.77	12029.6	10796.5	9739.7	10015.9	9843.62	10426.2	9256.89
21	8206598	8206619	21	+	hsa-miR-10401-3p	1671.31	0	0	0	0	62.3014	613.309	0
X	152392228	152392250	22	-	hsa-miR-105-3p	0	10.7142	96.9744	2.63806	3.3829	62.3014	0	9.76907
X	152392265	152392288	23	-	hsa-miR-105-5p	0	77.3802	355.573	93.651	56.6636	436.11	0	83.0371
5	172915083	172915107	24	+	hsa-miR-10523-5p	0	8.33325	0	7.91417	5.07436	0	0	4.88453
X	134170208	134170230	22	-	hsa-miR-106a-3p	0	120.237	0	0	171.682	0	0	3.48895
X	134170244	134170267	23	-	hsa-miR-106a-5p	0	116.666	161.624	15.8283	138.699	0	0	15.3514
7	100094002	100094024	22	-	hsa-miR-106b-3p	1114.21	451.186	4622.45	414.175	375.502	8348.39	613.309	341.917
7	100094043	100094064	21	-	hsa-miR-106b-5p	0	242.855	96.9744	135.86	224.117	0	0	174.448
10	89592756	89592779	23	-	hsa-miR-107	445.682	1455.94	1034.39	1234.61	1417.44	498.411	613.309	1060.64
17	48579864	48579886	22	-	hsa-miR-10a-3p	0	35.7139	549.522	189.94	43.132	186.904	306.654	210.733
17	48579904	48579927	23	-	hsa-miR-10a-5p	779.944	233.331	3943.63	1722.65	260.484	1682.14	6133.09	1650.97
2	176150368	176150390	22	+	hsa-miR-10b-3p	334.262	270.236	0	6.59514	309.536	0	306.654	2.79116
2	176150329	176150352	23	+	hsa-miR-10b-5p	1448.47	2495.21	96.9744	42.2089	2759.6	62.3014	2453.24	41.8674
17	19344513	19344535	22	-	hsa-miR-1180-3p	0	52.3805	808.12	67.2704	31.2919	560.713	0	54.4277
14	101043029	101043051	22	+	hsa-miR-1185-1-3p	111.421	0	0	154.326	0.845726	0	0	131.185
14	101044250	101044272	22	+	hsa-miR-1185-2-3p	0	0	0	15.8283	0	62.3014	0	20.2359
14	101042991	101043012	21	+	hsa-miR-1185-5p	0	0	0	3.95708	0	0	0	7.67569
14	101025620	101025641	21	+	hsa-miR-1197	111.421	0	0	101.565	0	62.3014	0	203.057
15	73299962	73299980	18	+	hsa-miR-12135	0	970.229	0	303.376	1373.46	0	0	332.148
1	632668	632686	18	-	hsa-miR-12136	222.841	33.333	32.3248	27.6996	30.4461	0	919.963	50.2409
18	58451088	58451110	22	+	hsa-miR-122-5p	222.841	3.57139	32.3248	7.91417	0.845726	0	0	8.37349
3	47849608	47849630	22	+	hsa-miR-1226-3p	222.841	15.476	0	6.59514	18.606	124.603	613.309	2.79116
3	47849555	47849581	26	+	hsa-miR-1226-5p	222.841	0	129.299	0	0	186.904	613.309	0
12	57194504	57194525	21	+	hsa-miR-1228-5p	1002.79	0	0	0	0	62.3014	306.654	0
8	9903438	9903460	22	-	hsa-miR-124-5p	0	4.76186	0	2.63806	10.9944	0	0	0.69779
2	176601024	176601043	19	-	hsa-miR-1246	8245.13	11.9046	193.949	0	10.9944	1495.23	3679.85	0.69779
14	101560326	101560350	24	-	hsa-miR-1247-3p	0	3.57139	0	5.27611	3.3829	0	0	3.48895
3	186786675	186786702	27	+	hsa-miR-1248	0	2.38093	32.3248	2.63806	3.3829	0	919.963	0.69779
17	81133265	81133286	21	-	hsa-miR-1250-5p	0	39.2853	0	0	38.0577	0	306.654	0
4	101330365	101330388	23	-	hsa-miR-1255a	0	3.57139	96.9744	9.2332	0.845726	0	0	16.0492
20	61953621	61953642	21	-	hsa-miR-1257	0	1.19046	0	2.63806	1.69145	0	0	6.28011
19	51693306	51693328	22	+	hsa-miR-125a-3p	0	63.0946	646.496	131.903	54.9722	934.521	0	98.3885
19	51693268	51693292	24	+	hsa-miR-125a-5p	6796.66	10127.3	16582.6	18320	10397.4	12086.5	6439.74	14069.5
11	122099769	122099791	22	-	hsa-miR-125b-1-3p	668.524	152.38	1519.27	399.665	139.545	6043.24	306.654	382.389
