Chromosome	Start	Stop	Length	Strand	Gene Symbol	CL1-0_Rep-2	20230818_CL1-0_CE_miRNA_Rep1	CL1-5_Rep-1	20230818_CL1-5_CE_miRNA_Rep1	20230823_CL1-0_CE_miRNA_Rep2	CL1-5_Rep-2	CL1-0_Rep-1	20230823_CL1-5_CE_miRNA_Rep2
11	122146523	122146545	22	-	hsa-let-7a-2-3p	0	20	6	203	22	7	0	320
9	94176013	94176034	21	+	hsa-let-7a-3p	0	56	7	91	75	2	0	190
9	94175962	94175984	22	+	hsa-let-7a-5p	91	7794	1330	38743	10729	508	25	61029
22	46113745	46113767	22	+	hsa-let-7b-3p	0	1	2	4	1	1	0	6
22	46113691	46113713	22	+	hsa-let-7b-5p	37	396	189	3507	453	222	9	5517
21	16539883	16539905	22	+	hsa-let-7c-3p	0	422	0	0	435	0	0	0
21	16539838	16539860	22	+	hsa-let-7c-5p	72	13877	32	117	13542	18	28	164
9	94178895	94178917	22	+	hsa-let-7d-3p	1	4	9	11	1	7	0	22
9	94178841	94178863	22	+	hsa-let-7d-5p	6	60	45	503	43	28	11	908
19	51692838	51692860	22	+	hsa-let-7e-3p	0	18	2	42	19	6	0	68
19	51692793	51692815	22	+	hsa-let-7e-5p	35	4005	429	9988	4446	179	8	16256
9	94176409	94176431	22	+	hsa-let-7f-1-3p	0	0	2	6	0	2	0	19
X	53557196	53557218	22	-	hsa-let-7f-2-3p	1	100	1	103	82	5	0	273
9	94176353	94176375	22	+	hsa-let-7f-5p	91	7438	443	16160	7183	159	25	32704
3	52268280	52268301	21	-	hsa-let-7g-3p	0	1	0	6	3	1	0	11
3	52268336	52268358	22	-	hsa-let-7g-5p	23	1807	125	7049	1868	48	4	13386
12	62603747	62603769	22	+	hsa-let-7i-3p	1	15	2	234	5	2	0	390
12	62603691	62603713	22	+	hsa-let-7i-5p	154	1530	1047	41901	1052	382	46	87616
18	21829015	21829037	22	-	hsa-miR-1-3p	0	16	1	33	23	0	0	102
11	122152240	122152262	22	-	hsa-miR-100-3p	4	581	181	3709	675	59	0	6759
11	122152275	122152297	22	-	hsa-miR-100-5p	29	1217	1246	11111	1702	528	9	18309
9	4850308	4850330	22	+	hsa-miR-101-2-5p	0	2	0	3	3	0	0	10
1	65058442	65058463	21	-	hsa-miR-101-3p	5	1399	9	552	2099	4	2	1500
1	65058477	65058499	22	-	hsa-miR-101-5p	0	2	0	1	3	0	0	5
20	3917504	3917527	23	+	hsa-miR-103a-2-5p	0	3	0	1	1	0	0	8
5	168560904	168560927	23	-	hsa-miR-103a-3p	47	10105	334	7384	11843	158	34	13266
21	8206598	8206619	21	+	hsa-miR-10401-3p	15	0	0	0	0	1	2	0
X	152392228	152392250	22	-	hsa-miR-105-3p	0	9	3	2	4	1	0	14
X	152392265	152392288	23	-	hsa-miR-105-5p	0	65	11	71	67	7	0	119
5	172915083	172915107	24	+	hsa-miR-10523-5p	0	7	0	6	6	0	0	7
X	134170208	134170230	22	-	hsa-miR-106a-3p	0	101	0	0	203	0	0	5
X	134170244	134170267	23	-	hsa-miR-106a-5p	0	98	5	12	164	0	0	22
7	100094002	100094024	22	-	hsa-miR-106b-3p	10	379	143	314	444	134	2	490
7	100094043	100094064	21	-	hsa-miR-106b-5p	0	204	3	103	265	0	0	250
10	89592756	89592779	23	-	hsa-miR-107	4	1223	32	936	1676	8	2	1520
17	48579864	48579886	22	-	hsa-miR-10a-3p	0	30	17	144	51	3	1	302
17	48579904	48579927	23	-	hsa-miR-10a-5p	7	196	122	1306	308	27	20	2366
2	176150368	176150390	22	+	hsa-miR-10b-3p	3	227	0	5	366	0	1	4
2	176150329	176150352	23	+	hsa-miR-10b-5p	13	2096	3	32	3263	1	8	60
17	19344513	19344535	22	-	hsa-miR-1180-3p	0	44	25	51	37	9	0	78
14	101043029	101043051	22	+	hsa-miR-1185-1-3p	1	0	0	117	1	0	0	188
14	101044250	101044272	22	+	hsa-miR-1185-2-3p	0	0	0	12	0	1	0	29
14	101042991	101043012	21	+	hsa-miR-1185-5p	0	0	0	3	0	0	0	11
14	101025620	101025641	21	+	hsa-miR-1197	1	0	0	77	0	1	0	291
15	73299962	73299980	18	+	hsa-miR-12135	0	815	0	230	1624	0	0	476
1	632668	632686	18	-	hsa-miR-12136	2	28	1	21	36	0	3	72
18	58451088	58451110	22	+	hsa-miR-122-5p	2	3	1	6	1	0	0	12
3	47849608	47849630	22	+	hsa-miR-1226-3p	2	13	0	5	22	2	2	4
3	47849555	47849581	26	+	hsa-miR-1226-5p	2	0	4	0	0	3	2	0
12	57194504	57194525	21	+	hsa-miR-1228-5p	9	0	0	0	0	1	1	0
8	9903438	9903460	22	-	hsa-miR-124-5p	0	4	0	2	13	0	0	1
2	176601024	176601043	19	-	hsa-miR-1246	74	10	6	0	13	24	12	1
14	101560326	101560350	24	-	hsa-miR-1247-3p	0	3	0	4	4	0	0	5
3	186786675	186786702	27	+	hsa-miR-1248	0	2	1	2	4	0	3	1
17	81133265	81133286	21	-	hsa-miR-1250-5p	0	33	0	0	45	0	1	0
4	101330365	101330388	23	-	hsa-miR-1255a	0	3	3	7	1	0	0	23
20	61953621	61953642	21	-	hsa-miR-1257	0	1	0	2	2	0	0	9
19	51693306	51693328	22	+	hsa-miR-125a-3p	0	53	20	100	65	15	0	141
19	51693268	51693292	24	+	hsa-miR-125a-5p	61	8507	513	13889	12294	194	21	20163
11	122099769	122099791	22	-	hsa-miR-125b-1-3p	6	128	47	303	165	97	1	548
21	16590290	16590312	22	+	hsa-miR-125b-2-3p	2	69	0	0	87	0	1	0
11	122099809	122099831	22	-	hsa-miR-125b-5p	156	50705	1294	40208	74193	433	67	56356
9	136670653	136670675	22	+	hsa-miR-126-3p	1681	19920	217	6040	26554	133	10	12342
9	136670616	136670637	21	+	hsa-miR-126-5p	574	10920	62	3311	13820	39	1	7167
14	77266231	77266249	18	+	hsa-miR-1260a	0	13	11	12	17	14	0	8
11	96341447	96341466	19	+	hsa-miR-1260b	1	29	26	23	40	54	0	50
1	68183576	68183598	22	-	hsa-miR-1262	0	0	0	8	0	0	0	21
15	22225308	22225326	18	-	hsa-miR-1268a	0	8	2	3	4	3	0	5
17	80098831	80098851	20	+	hsa-miR-1268b	0	2	2	2	3	1	0	7
14	100883035	100883057	22	+	hsa-miR-127-3p	3	0	48	2149	2	31	1	4001
14	100883001	100883023	22	+	hsa-miR-127-5p	0	0	0	34	0	0	0	73
19	20399320	20399343	23	-	hsa-miR-1270	0	0	6	42	0	2	0	78
5	176367960	176367982	22	+	hsa-miR-1271-5p	0	0	5	136	0	2	0	215
6	34000018	34000035	17	-	hsa-miR-1275	1	2	0	1	4	0	0	7
X	118386440	118386462	22	+	hsa-miR-1277-3p	0	36	0	25	61	0	0	60
X	118386401	118386425	24	+	hsa-miR-1277-5p	0	14	0	7	35	0	0	21
1	193136552	193136574	22	+	hsa-miR-1278	0	18	0	3	25	0	0	8
2	135665411	135665434	23	+	hsa-miR-128-1-5p	2	37	4	6	48	5	0	19
2	135665446	135665467	21	+	hsa-miR-128-3p	6	3871	69	1431	5551	17	5	2914
3	71542039	71542061	22	-	hsa-miR-1284	0	6	0	3	8	0	0	8
22	20249145	20249166	21	-	hsa-miR-1286	0	17	0	1	26	0	0	2
10	98395271	98395293	22	-	hsa-miR-1287-5p	1	6	0	1	6	0	0	1
7	128207876	128207897	21	+	hsa-miR-129-5p	0	6	1	6	12	0	1	20
12	48654494	48654518	24	-	hsa-miR-1291	2	1	4	0	0	0	4	0
20	2652779	2652804	25	+	hsa-miR-1292-5p	7	1	1	6	6	2	3	14
5	154347153	154347175	22	+	hsa-miR-1294	0	8	0	3	7	0	0	7
10	63372969	63372991	22	-	hsa-miR-1296-3p	0	4	0	1	3	0	1	2
10	63373012	63373034	22	-	hsa-miR-1296-5p	2	98	13	41	118	14	1	77
2	25328651	25328675	24	-	hsa-miR-1301-3p	0	40	2	10	68	0	0	12
11	93733691	93733713	22	-	hsa-miR-1304-3p	1	224	6	136	225	8	0	226
4	182169343	182169365	22	+	hsa-miR-1305	0	2	0	3	11	0	0	17
22	20086072	20086094	22	+	hsa-miR-1306-5p	0	6	1	4	5	1	0	7
10	103394301	103394323	22	-	hsa-miR-1307-3p	13	58	24	44	106	28	4	76
10	103394341	103394362	21	-	hsa-miR-1307-5p	17	828	15	388	1093	14	3	972
11	57641252	57641274	22	+	hsa-miR-130a-3p	18	12371	84	7674	14703	26	5	15305
11	57641212	57641234	22	+	hsa-miR-130a-5p	1	98	13	75	114	11	0	126
22	21653354	21653376	22	+	hsa-miR-130b-3p	7	1989	24	1906	1980	16	4	3095
22	21653316	21653337	21	+	hsa-miR-130b-5p	1	15	3	15	26	2	0	26
17	2049929	2049951	22	-	hsa-miR-132-3p	1	517	8	149	885	11	0	505
17	2049965	2049987	22	-	hsa-miR-132-5p	1	234	13	101	399	23	1	293
14	101054694	101054716	22	+	hsa-miR-134-5p	2	0	48	770	0	15	1	1625
1	205448361	205448384	23	-	hsa-miR-135b-5p	0	0	0	30	6	0	0	65
14	100884750	100884772	22	+	hsa-miR-136-3p	2	0	10	418	0	0	0	1183
14	100884716	100884739	23	+	hsa-miR-136-5p	0	0	2	83	0	4	0	198
1	98046091	98046114	23	-	hsa-miR-137-3p	5	1521	0	47	531	0	1	134
3	44114274	44114296	22	+	hsa-miR-138-1-3p	0	3	4	11	7	2	0	18
3	44114234	44114257	23	+	hsa-miR-138-5p	1	116	14	270	209	7	0	559
11	72615066	72615089	23	-	hsa-miR-139-3p	0	7	2	3	4	3	0	10
